"sex" "age" "field" "language" "education" "paranormal" "toss.K" "toss.RT" "grid.K" "grid.RT" "guess.K" "guess.RT" "roll.K" "roll.RT" "spot.K" "spot.RT" "K" "toss" "guess" "roll" "spot" "grid" "RT"
"female" 35.3452054794521 "0" "french" 3 4 -0.797830410346681 23.2 1.46639916626455 14.1 1.34286326129855 12.9 1.03701247063423 11.8 0.771088687148628 9.6 0.763906634999855 "110110000000" "4421553432" "2516524511" "5265141856" "011100011" 71.6
"female" 55.4328767123288 "0" "french" 3 5 -4.41549456072126 30.3 -0.25296007246356 23.6 -2.56906345298263 26.9 0.122137774559532 12.2 -15.1528449549343 10.2 -4.45364505330844 "000000000000" "3445553333" "2551644366" "8888888888" "101011101" 103.2
"female" 70.6931506849315 "humanities" "french" 5 5 -0.205368108995271 12.3 -3.04096573668208 10.5 -4.89218864818832 61.3 -0.492389238764293 25.2 1.35522747015554 15.8 -1.45513685249488 "001010110111" "1111112242" "2552345666" "8459735688" "000000000" 125.1
"male" 38.5671232876712 "other" "french" 4 3 -0.818235958308479 25.6 0.189437849218902 9 1.02857970822861 19.4 0.893315326163607 14.4 1.31659797505549 14.9 0.521938980071626 "110001000000" "1545134315" "5245663132" "4538625427" "011110101" 83.3
"male" 30.6684931506849 "other" "french" 5 2 -0.759925308614842 17.7 1.8214169933467 21.4 1.51501378638811 21.9 1.3955049339049 11.8 1.64342396139409 15.1 1.12308687328379 "001010111010" "2354512231" "1543256235" "5368471568" "010001101" 87.9
"female" 29.8739726027397 "other" "french" 6 2 -1.28392844546275 18.8 -1.47477450528602 15.3 0.99547531568914 33.2 1.58322347472104 17.4 1.77122688167072 10.3 0.318244544266426 "110100000000" "4523414534" "5436621365" "8654178523" "100010000" 95
"male" 34.7835616438356 "other" "french" 5 5 0.817983062534058 10.1 0.206595179695689 42.2 1.58224966627868 16 0.961202709032638 19.4 1.57504327059548 15.5 1.02861477762731 "011000100111" "3214452234" "5411634566" "4152362417" "110000101" 103.2
"male" 26.5205479452055 "0" "french" 3 2 -0.420979761617647 53.4 -0.49051686914422 17.7 0.914708044066904 38 0.167906473722914 25.6 2.00757791872333 10.7 0.435739161150256 "001011001010" "4134251355" "5646553436" "8724918537" "100110010" 145.4
"female" 27.3095890410959 "humanities" "french" 4 0 -1.40277178241531 10.4 -3.04096573668208 12.9 2.09648612678054 19 0.959096173573301 16.9 1.89394802060698 8.8 0.101158560372686 "010010101011" "2341543512" "2533543625" "5684239741" "000000000" 68
"female" 39.8630136986301 "science" "french" 5 0 -0.369969093310324 33 0.446237925989999 16 1.06251843385453 28.5 0.683107553292903 16.1 1.40953370326432 12.5 0.646285704618286 "111001000000" "4524131553" "5423135655" "8698412586" "101100100" 106.1
"male" 38.0328767123288 "science" "french" 6 0 1.43528031331841 16.3 -3.04096573668208 15.5 0.658026735231414 12.9 0.844001158747496 10.4 1.00589741255972 14.2 0.180447976634992 "010011111000" "5444211354" "5254113362" "1581632658" "000000000" 69.3
"male" 60.4821917808219 "other" "french" 6 0 0.165508594605112 35.3 -3.04096573668208 15.9 0.0860234359362274 17.1 0.807655946916639 11.8 1.37032565987276 14.7 -0.122290419870268 "110010000000" "3441214555" "5425663211" "5866214789" "000000000" 94.8
"male" 66.2931506849315 "0" "french" 1 0 -0.451488596516264 19.5 -1.21024367531816 27.2 0.966070674475842 19.9 0.452848180312352 29.2 0.2073774254052 13 -0.00708719832820599 "010011011011" "4215415325" "3542531431" "5231952341" "000100010" 108.8
"male" 25.8712328767123 "0" "french" 1 4 0.0147020212611245 12.1 0.145914824578648 24 0.898013461703843 16.5 2.3160665865452 9 1.41168164678401 9.9 0.957275708174565 "010011011010" "2414533123" "1653425316" "1453268273" "100011010" 71.5
